date,symbol,open,close,high,low
2021-12-02,ibm,117.37,116.9,117.98,116.56
2021-12-01,ibm,118.25,116.92,118.93,116.85
2021-11-30,ibm,117.5,117.1,119.2399,116.46
2021-11-29,ibm,118.62,118.5,119.61,117.53
2021-11-26,ibm,115.0,115.81,116.34,114.56
2021-11-24,ibm,116.16,116.73,117.27,116.08
2021-11-23,ibm,116.79,116.79,117.94,116.04
2021-11-22,ibm,116.0,116.47,118.81,115.19
2021-11-19,ibm,116.49,116.05,116.56,115.27
2021-11-18,ibm,118.36,116.66,118.36,116.31
2021-11-17,ibm,118.38,118.06,119.33,117.78
2021-11-16,ibm,118.92,118.46,119.9,118.42
2021-11-15,ibm,119.54,118.87,120.16,118.31
2021-11-12,ibm,120.0,118.96,120.64,118.78
2021-11-11,ibm,120.9,120.27,121.7894,120.08
2021-11-10,ibm,121.0,120.22,122.43,119.932
2021-11-09,ibm,122.56,120.85,122.9,120.26
2021-11-08,ibm,123.985,124.54,124.78,123.53
2021-11-05,ibm,121.43,123.61,123.77,121.43
2021-11-04,ibm,123.05,120.85,123.34,119.9
2021-11-03,ibm,126.23,127.13,127.29,125.68
2021-11-02,ibm,126.3,126.18,127.17,124.91
2021-11-01,ibm,125.05,126.28,126.31,123.8375
2021-10-29,ibm,125.43,125.1,126.32,124.91
2021-10-28,ibm,125.17,125.84,126.31,124.62
2021-10-27,ibm,127.44,125.17,127.88,125.01
2021-10-26,ibm,127.52,127.13,128.3,126.755
2021-10-25,ibm,127.53,127.64,128.64,126.94
2021-10-22,ibm,128.05,127.88,130.25,126.61
2021-10-21,ibm,133.51,128.33,133.72,128.1
2021-10-20,ibm,141.68,141.9,142.2,140.7
2021-10-19,ibm,141.08,141.98,142.94,140.52
2021-10-18,ibm,144.0,142.32,144.94,141.759
2021-10-15,ibm,143.39,144.61,144.85,142.79
2021-10-14,ibm,141.04,143.39,143.91,141.01
2021-10-13,ibm,140.52,140.76,141.36,139.67
2021-10-12,ibm,142.21,140.47,142.3,140.31
2021-10-11,ibm,143.5,142.43,144.08,142.4
2021-10-08,ibm,141.81,143.22,143.65,141.05
2021-10-07,ibm,142.73,141.81,143.395,141.55
2021-10-06,ibm,142.48,142.36,143.37,140.9
2021-10-05,ibm,144.75,143.15,145.0,142.65
2021-10-04,ibm,142.74,144.11,145.99,142.3501
2021-10-01,ibm,141.0,143.32,143.97,140.38
2021-09-30,ibm,140.0,138.93,140.57,138.5
2021-09-29,ibm,137.73,139.18,139.924,136.44
2021-09-28,ibm,139.17,137.47,139.688,137.21
2021-09-27,ibm,137.96,138.56,139.065,137.48
2021-09-24,ibm,137.03,137.49,138.48,136.75
2021-09-23,ibm,135.25,136.73,137.42,135.04
2021-09-22,ibm,133.72,134.63,135.3662,133.47
2021-09-21,ibm,135.11,132.97,135.64,132.87
2021-09-20,ibm,133.9,134.31,135.18,132.78
2021-09-17,ibm,135.75,135.23,135.92,135.05
2021-09-16,ibm,137.28,136.43,137.95,135.72
2021-09-15,ibm,136.22,137.2,137.7983,135.6914
2021-09-14,ibm,138.4,136.22,138.55,135.34
2021-09-13,ibm,138.4,138.15,138.99,137.51
2021-09-10,ibm,138.82,137.02,139.37,137.0
2021-09-09,ibm,137.85,137.74,138.96,137.555
2021-09-08,ibm,138.14,138.67,139.08,137.6
2021-09-07,ibm,139.65,138.06,139.79,137.7614
2021-09-03,ibm,139.68,139.58,140.47,139.3
2021-09-02,ibm,139.72,140.01,140.05,139.03
2021-09-01,ibm,139.98,139.3,140.2,139.19
2021-08-31,ibm,139.54,140.34,140.94,138.95
2021-08-30,ibm,139.5,138.97,139.88,138.815
2021-08-27,ibm,138.71,139.41,139.59,138.4
2021-08-26,ibm,139.97,138.78,140.77,138.71
2021-08-25,ibm,139.92,139.86,140.8,139.475
2021-08-24,ibm,139.78,139.84,140.225,139.3701
2021-08-23,ibm,139.62,139.62,140.15,138.8
2021-08-20,ibm,137.74,139.11,139.38,137.27
2021-08-19,ibm,138.69,138.02,139.45,137.21
2021-08-18,ibm,141.67,139.47,141.915,139.41
2021-08-17,ibm,143.0,142.42,143.16,141.09
2021-08-16,ibm,143.23,143.59,143.73,142.23
2021-08-13,ibm,142.64,143.18,143.58,142.44
2021-08-12,ibm,142.26,143.07,143.15,142.08
2021-08-11,ibm,141.78,142.13,142.7685,141.5
2021-08-10,ibm,141.21,141.38,141.811,140.34
2021-08-09,ibm,142.2,141.25,142.495,140.97
2021-08-06,ibm,143.0,144.09,144.39,142.89
2021-08-05,ibm,143.03,142.77,143.41,142.22
2021-08-04,ibm,143.8,142.76,144.17,142.47
2021-08-03,ibm,141.9,144.07,144.7,141.65
2021-08-02,ibm,141.45,141.42,143.05,141.06
2021-07-30,ibm,141.52,140.96,141.85,140.8
2021-07-29,ibm,142.33,141.93,142.94,141.6
2021-07-28,ibm,143.01,141.77,143.1,141.64
2021-07-27,ibm,142.53,142.75,143.64,141.61
2021-07-26,ibm,141.39,142.77,142.9334,141.13
2021-07-23,ibm,140.96,141.34,141.7,140.33
2021-07-22,ibm,141.66,140.71,141.8,140.41
2021-07-21,ibm,139.97,141.3,141.39,139.67
2021-07-20,ibm,143.0,139.97,144.92,138.7
2021-07-19,ibm,136.45,137.92,138.49,136.2089
2021-07-16,ibm,141.0,138.9,141.0,138.59
2021-07-15,ibm,139.32,140.45,140.46,138.8005
2021-07-14,ibm,140.72,139.82,140.725,138.93
