date,symbol,open,close,high,low
2021-12-03,msft,331.99,323.01,332.7,318.03
2021-12-02,msft,330.3,329.49,333.47,327.82
2021-12-01,msft,335.13,330.08,339.28,329.39
2021-11-30,msft,335.32,330.59,337.78,329.0
2021-11-29,msft,334.94,336.63,339.03,334.75
2021-11-26,msft,334.35,329.68,337.93,328.12
2021-11-24,msft,336.28,337.91,338.16,333.935
2021-11-23,msft,337.05,337.68,339.45,333.56
2021-11-22,msft,344.62,339.83,349.665,339.55
2021-11-19,msft,342.64,343.11,345.1,342.2
2021-11-18,msft,338.18,341.27,342.45,337.12
2021-11-17,msft,338.94,339.12,342.19,338.0
2021-11-16,msft,335.68,339.51,340.67,335.51
2021-11-15,msft,337.54,336.07,337.88,334.03
2021-11-12,msft,333.92,336.72,337.23,333.79
2021-11-11,msft,331.25,332.43,333.77,330.51
2021-11-10,msft,334.57,330.8,334.6303,329.92
2021-11-09,msft,337.1071,335.95,338.44,334.53
2021-11-08,msft,337.3,336.99,337.615,334.44
2021-11-05,msft,338.51,336.06,338.79,334.42
2021-11-04,msft,332.89,336.44,336.54,329.51
2021-11-03,msft,333.9,334.0,334.9,330.65
2021-11-02,msft,330.31,333.13,333.45,330.0
2021-11-01,msft,331.355,329.37,331.49,326.37
2021-10-29,msft,324.13,331.62,332.0,323.9
2021-10-28,msft,324.33,324.35,324.87,321.36
2021-10-27,msft,316.0,323.17,326.0973,316.0
2021-10-26,msft,311.0,310.11,312.4,308.6
2021-10-25,msft,309.36,308.13,309.38,306.46
2021-10-22,msft,310.4,309.16,311.09,307.8
2021-10-21,msft,307.17,310.76,311.02,306.36
2021-10-20,msft,309.21,307.41,309.7,306.11
2021-10-19,msft,308.35,308.23,309.3,307.22
2021-10-18,msft,303.57,307.29,307.8,302.69
2021-10-15,msft,302.34,304.21,304.45,300.52
2021-10-14,msft,299.21,302.75,303.27,297.83
2021-10-13,msft,294.91,296.31,297.28,293.49
2021-10-12,msft,295.34,292.88,295.44,292.35
2021-10-11,msft,292.92,294.23,297.84,292.7686
2021-10-08,msft,296.22,294.85,296.64,293.76
2021-10-07,msft,295.175,294.85,296.64,293.93
2021-10-06,msft,285.78,293.11,293.63,285.5093
2021-10-05,msft,284.0464,288.76,290.398,284.0464
2021-10-04,msft,287.4,283.11,287.75,280.25
2021-10-01,msft,282.1217,289.1,289.98,281.31
2021-09-30,msft,285.71,281.92,287.83,281.62
2021-09-29,msft,285.1,284.0,286.77,283.01
2021-09-28,msft,289.795,283.52,290.78,282.75
2021-09-27,msft,296.14,294.17,296.47,292.9449
2021-09-24,msft,298.23,299.35,299.8,296.93
2021-09-23,msft,298.845,299.56,300.9,297.5339
2021-09-22,msft,296.725,298.58,300.21,294.51
2021-09-21,msft,295.69,294.8,297.54,294.07
2021-09-20,msft,296.33,294.3,298.72,289.52
2021-09-17,msft,304.17,299.87,304.5,299.53
2021-09-16,msft,303.76,305.22,305.31,300.76
2021-09-15,msft,303.26,304.82,305.32,301.82
2021-09-14,msft,299.56,299.79,301.39,298.1
2021-09-13,msft,297.55,296.99,298.53,294.08
2021-09-10,msft,298.42,295.71,299.92,295.38
2021-09-09,msft,300.82,297.25,302.14,297.0
2021-09-08,msft,299.78,300.21,300.61,297.4651
2021-09-07,msft,301.005,300.18,301.02,298.2
2021-09-03,msft,300.99,301.14,302.6,300.26
2021-09-02,msft,302.2,301.15,303.3602,300.18
2021-09-01,msft,302.865,301.83,305.18,301.49
2021-08-31,msft,304.42,301.88,304.42,301.51
2021-08-30,msft,301.115,303.59,304.22,301.06
2021-08-27,msft,298.99,299.72,300.87,296.83
2021-08-26,msft,300.99,299.09,302.429,298.96
2021-08-25,msft,304.3,302.01,304.59,300.42
2021-08-24,msft,305.02,302.62,305.64,302.01
2021-08-23,msft,303.245,304.65,305.4,301.86
2021-08-20,msft,299.72,304.36,305.84,298.06
2021-08-19,msft,288.694,296.77,297.47,288.64
2021-08-18,msft,292.04,290.73,294.82,290.27
2021-08-17,msft,292.39,293.08,293.43,291.08
2021-08-16,msft,293.19,294.6,294.82,290.02
2021-08-13,msft,289.48,292.85,292.9,289.3
2021-08-12,msft,286.63,289.81,289.97,286.34
2021-08-11,msft,287.21,286.95,288.66,285.87
2021-08-10,msft,288.8,286.44,289.25,285.21
2021-08-09,msft,289.75,288.33,291.54,287.8107
2021-08-06,msft,288.505,289.46,289.5,287.6238
2021-08-05,msft,286.88,289.52,289.62,286.1
2021-08-04,msft,286.22,286.51,287.5883,284.65
2021-08-03,msft,285.42,287.12,287.23,284.0
2021-08-02,msft,286.36,284.82,286.7632,283.74
2021-07-30,msft,285.17,284.91,286.6401,283.91
2021-07-29,msft,286.235,286.5,288.618,286.08
2021-07-28,msft,288.99,286.22,290.15,283.8303
2021-07-27,msft,289.43,286.54,289.57,282.95
2021-07-26,msft,289.0,289.05,289.69,286.642
2021-07-23,msft,287.37,289.67,289.99,286.5
2021-07-22,msft,283.84,286.14,286.42,283.42
2021-07-21,msft,278.905,281.4,281.52,277.67
2021-07-20,msft,278.03,279.32,280.97,276.26
2021-07-19,msft,278.9335,277.01,280.37,275.0
2021-07-16,msft,282.07,280.75,284.1,279.48
2021-07-15,msft,282.0,281.03,282.51,279.83
